Date,Product_ID,Product_Name,Category,Unit_Price,Quantity_Sold,Total_Sales,Customer_ID,First_Name,Last_Name,Payment_Type
2024-05-18,DZP-298152,Science Fiction,Books,21.89,4,87.56,CUST-113596,Marcia,Hood,Online Payment
2024-05-18,xcO-210308,Skin Cream,Health & Beauty,52.24,8,417.92,CUST-008848,Maria,Thompson,Online Payment
2024-05-18,OEu-672616,Biography,Books,20.69,1,20.69,CUST-199193,Philip,Jackson,Online Payment
2024-05-18,Sfs-791175,Smartphone,Electronics,691.87,8,5534.96,CUST-480776,Tracy,Young,Online Payment
2024-05-18,jEr-922557,Cushion,Home & Garden,21.93,5,109.65,CUST-730129,Julie,Fletcher,Online Payment
2024-05-18,kWk-178503,Chair,Home & Garden,38.26,3,114.78,CUST-860709,Nicholas,Gomez,Debit Card
2024-05-18,Ewc-097808,Blanket,Home & Garden,84.14,5,420.7,CUST-198473,Sophia,Wilkerson,Debit Card
2024-05-18,MMX-442082,Headphones,Electronics,217.28,7,1520.96,CUST-680083,Miranda,Baker,Credit Card
2024-05-18,AhZ-077666,Jeans,Clothing,50.87,4,203.48,CUST-581871,Katie,Garner,Online Payment
2024-05-18,kWE-446857,Novel,Books,23.58,7,165.06,CUST-941320,Christina,Wright,Debit Card
2024-05-18,UMB-196559,Dress,Clothing,172.68,1,172.68,CUST-747233,Samantha,Romero,Online Payment
2024-05-18,YBz-101692,Board Game,Toys & Games,46.89,8,375.12,CUST-154264,Sheila,Stevenson,Cash
2024-05-18,xLo-774469,Video Game,Toys & Games,58.34,1,58.34,CUST-981801,Sherry,Pitts,Cash
2024-05-18,MyK-550398,Sneakers,Clothing,263.87,8,2110.96,CUST-607572,Blake,Cooper,Credit Card
2024-05-18,eLF-934397,Blanket,Home & Garden,40.82,9,367.38,CUST-286496,Brian,Watkins,Credit Card
2024-05-18,tTk-082224,Lamp,Home & Garden,119.39,9,1074.51,CUST-305440,Carrie,Campbell,Credit Card
2024-05-18,uCY-178929,Cushion,Home & Garden,48.17,7,337.19,CUST-805411,Douglas,Turner,Credit Card
2024-05-18,PjT-521559,Blanket,Home & Garden,45.41,6,272.46,CUST-301097,Hannah,Lewis,Cash
2024-05-18,OJo-875208,Dress,Clothing,158.95,7,1112.65,CUST-170541,Curtis,Johnson,Online Payment
2024-05-18,XBM-257046,Camera,Electronics,1283.0,6,7698.0,CUST-802872,Anne,Smith,Online Payment
2024-05-18,pAe-387244,Perfume,Health & Beauty,107.02,5,535.1,CUST-218370,Loretta,Gilbert,Cash
2024-05-18,krr-420202,Camera,Electronics,472.74,8,3781.92,CUST-265042,Stephen,Little,Debit Card
2024-05-18,WwJ-795651,Cushion,Home & Garden,23.04,1,23.04,CUST-866398,Ana,Perez,Online Payment
2024-05-18,Vte-646734,Board Game,Toys & Games,41.67,8,333.36,CUST-656547,John,Clay,Credit Card
2024-05-18,dSi-141691,Action Figure,Toys & Games,129.95,3,389.85,CUST-558142,Sean,Johnson,Cash
2024-05-18,cGd-278430,Video Game,Toys & Games,54.92,7,384.44,CUST-517592,Adam,Jenkins,Credit Card
2024-05-18,Hly-993641,Jeans,Clothing,75.62,5,378.1,CUST-551082,Teresa,Gonzalez,Credit Card
2024-05-18,UTF-699752,Chair,Home & Garden,48.5,7,339.5,CUST-013920,Crystal,Wu,Credit Card
2024-05-18,EFd-057593,Video Game,Toys & Games,59.77,1,59.77,CUST-540666,James,Henry,Cash
2024-05-18,Trj-838729,Dress,Clothing,30.77,6,184.62,CUST-708775,Aaron,Garcia,Online Payment
2024-05-18,SAp-898315,Puzzle,Toys & Games,31.75,9,285.75,CUST-748605,Jimmy,Peck,Credit Card
2024-05-18,NfT-409706,Shampoo,Health & Beauty,5.59,3,16.77,CUST-407331,Mary,Phillips,Cash
2024-05-18,VPl-713958,Video Game,Toys & Games,56.59,7,396.13,CUST-115987,Mark,Turner,Cash
2024-05-18,Wml-787878,Jeans,Clothing,53.62,4,214.48,CUST-747132,Karen,Padilla,Credit Card
2024-05-18,Pvb-174015,Lamp,Home & Garden,113.47,4,453.88,CUST-539551,Lisa,Vargas,Cash
2024-05-18,lIw-785803,Cushion,Home & Garden,18.35,1,18.35,CUST-356512,Cameron,Martinez,Cash
2024-05-18,DAF-104553,T-shirt,Clothing,21.19,3,63.57,CUST-198575,Kristin,Williamson,Online Payment
2024-05-18,yBf-794813,Smartphone,Electronics,818.36,6,4910.16,CUST-353705,James,Taylor,Online Payment
2024-05-18,TIu-043988,Science Fiction,Books,10.75,4,43.0,CUST-583590,Kelsey,Powers,Credit Card
2024-05-18,ggl-231203,Headphones,Electronics,138.04,8,1104.32,CUST-091868,Allison,Walter,Cash
2024-05-18,zMf-513723,Skin Cream,Health & Beauty,20.16,7,141.12,CUST-361650,Brandy,Warren,Online Payment
2024-05-18,ZlW-870512,Skin Cream,Health & Beauty,52.25,6,313.5,CUST-787523,Randy,Miller,Credit Card
2024-05-18,fmW-172993,Dress,Clothing,102.83,8,822.64,CUST-192773,Tyler,Mcclain,Credit Card
2024-05-18,VBJ-449483,Jeans,Clothing,48.79,3,146.37,CUST-372977,William,Brown,Cash
2024-05-18,RXS-940541,Skin Cream,Health & Beauty,53.66,1,53.66,CUST-002799,Jennifer,Larsen,Cash
2024-05-18,IYg-166874,Camera,Electronics,1240.1,8,9920.8,CUST-051924,Michael,Johnson,Debit Card
2024-05-18,MZh-049017,Makeup Kit,Health & Beauty,79.65,7,557.55,CUST-107236,Steven,Roberts,Cash
2024-05-18,fjG-066228,Action Figure,Toys & Games,124.73,7,873.11,CUST-559439,Sara,Russell,Cash
2024-05-18,suO-131064,Makeup Kit,Health & Beauty,20.64,2,41.28,CUST-267541,Kristin,Oliver,Credit Card
2024-05-18,kse-551457,Action Figure,Toys & Games,101.46,3,304.38,CUST-239155,Karen,Vasquez,Debit Card
2024-05-18,Ghc-389925,Shampoo,Health & Beauty,21.98,1,21.98,CUST-149581,Alexander,Sweeney,Online Payment
2024-05-18,exB-302237,Smartphone,Electronics,249.86,4,999.44,CUST-449966,Alexandra,Moore,Online Payment
2024-05-18,BUq-007488,Science Fiction,Books,15.55,8,124.4,CUST-567679,Michelle,Scott,Cash
2024-05-18,HLP-374173,Blanket,Home & Garden,84.33,6,505.98,CUST-622196,Laurie,Haynes,Online Payment
2024-05-18,avA-924018,Biography,Books,34.39,3,103.17,CUST-435471,Teresa,Allen,Online Payment
2024-05-18,bym-624411,Laptop,Electronics,1007.58,4,4030.32,CUST-539478,Natalie,Brown,Credit Card
2024-05-18,PjK-903020,Makeup Kit,Health & Beauty,90.23,3,270.69,CUST-953573,Ryan,Williams,Credit Card
2024-05-18,DdL-070917,Action Figure,Toys & Games,116.13,9,1045.17,CUST-540014,Kimberly,Harris,Online Payment
2024-05-18,DSh-119932,Video Game,Toys & Games,50.5,1,50.5,CUST-690469,Matthew,Alvarez,Credit Card
2024-05-18,Eui-795339,Sneakers,Clothing,241.92,8,1935.36,CUST-739330,Logan,White,Credit Card
2024-05-18,lZc-522526,Sneakers,Clothing,225.62,6,1353.72,CUST-039790,Kimberly,Guzman,Online Payment
2024-05-18,GGl-023100,Perfume,Health & Beauty,149.22,5,746.1,CUST-382543,Amanda,Taylor,Cash
2024-05-18,wWo-809699,Perfume,Health & Beauty,164.93,7,1154.51,CUST-817692,Michelle,Thompson,Credit Card
2024-05-18,CXA-708693,Shampoo,Health & Beauty,39.63,1,39.63,CUST-552986,Michael,Chambers,Credit Card
2024-05-18,BtZ-913373,Chair,Home & Garden,47.11,6,282.66,CUST-641516,David,Jones,Online Payment
2024-05-18,Oad-259810,Headphones,Electronics,162.16,5,810.8,CUST-203015,Deborah,Brown,Debit Card
2024-05-18,azS-170469,Novel,Books,24.69,1,24.69,CUST-697249,David,Stewart,Cash
2024-05-18,xug-770541,Makeup Kit,Health & Beauty,96.51,4,386.04,CUST-874770,Jill,Morton,Credit Card
