Date,Product_ID,Product_Name,Category,Unit_Price,Quantity_Sold,Total_Sales,Customer_ID,First_Name,Last_Name,Payment_Type
2023-04-01,zZO-458014,Perfume,Health & Beauty,35.3,5,176.5,CUST-286477,Melissa,Rios,Cash
2023-09-05,NYL-600155,Action Figure,Toys & Games,142.91,9,1286.19,CUST-044055,Angela,Evans,Credit Card
2022-12-24,yEj-074613,Camera,Electronics,1258.71,3,3776.13,CUST-325917,Christopher,Alvarez,Debit Card
2023-12-29,VTk-000407,Dress,Clothing,33.35,9,300.15,CUST-693287,Natasha,Munoz,Online Payment
2022-11-24,wDt-052971,History,Books,22.01,3,66.03,CUST-101560,Emily,Murphy,Cash
2022-06-04,HnC-328930,History,Books,49.09,1,49.09,CUST-569643,Gary,Barrett,Credit Card
2023-04-05,eMY-853436,Skin Cream,Health & Beauty,20.1,9,180.9,CUST-581700,Jason,Carlson,Credit Card
2023-03-06,qXa-028143,Laptop,Electronics,916.11,9,8244.99,CUST-814385,Alexa,Hickman,Cash
2022-09-25,kfp-451144,Smartphone,Electronics,664.31,6,3985.86,CUST-817450,Lisa,Wolf,Cash
2022-07-12,hsI-160950,Action Figure,Toys & Games,145.95,6,875.7,CUST-215424,Mark,Gomez,Online Payment
2024-03-06,hbQ-777074,Perfume,Health & Beauty,109.21,1,109.21,CUST-904378,John,Higgins,Credit Card
2023-12-16,tYr-564470,Headphones,Electronics,236.34,7,1654.38,CUST-124352,David,Brown,Debit Card
2023-12-01,NGJ-998726,Board Game,Toys & Games,26.96,3,80.88,CUST-002278,Pamela,Lawson,Credit Card
2022-10-15,nmx-653402,Puzzle,Toys & Games,44.8,9,403.2,CUST-196714,Catherine,Griffith,Online Payment
2023-06-05,jCI-869925,Jeans,Clothing,95.99,7,671.93,CUST-374508,Linda,Valdez,Debit Card
2023-04-22,ILc-055347,Skin Cream,Health & Beauty,50.95,3,152.85,CUST-819479,Chase,Buchanan,Cash
2024-03-09,RiA-826617,Jeans,Clothing,67.03,2,134.06,CUST-541647,Matthew,Garcia,Cash
